PartnerId,CustomerId,CustomerName,CustomerDomainName,CustomerCountry,InvoiceNumber,MpnId,Tier2MpnId,OrderId,OrderDate,ProductId,SkuId,AvailabilityId,SkuName,ProductName,ChargeType,UnitPrice,Quantity,Subtotal,TaxTotal,Total,Currency,PriceAdjustmentDescription,PublisherName,PublisherId,SubscriptionDescription,SubscriptionId,ChargeStartDate,ChargeEndDate,TermAndBillingCycle,EffectiveUnitPrice,UnitType,AlternateId,BillableQuantity,BillingFrequency,PricingCurrency,PCToBCExchangeRate,PCToBCExchangeRateDate,MeterDescription,ReservationOrderId,CreditReasonCode,SubscriptionStartDate,SubscriptionEndDate,ReferenceId,ProductQualifiers,PromotionId,ProductCategory
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,b0528ee3-530c-4000-95a0-842c26a990d5,PERDANA PARKCITY SDN BHD,ppcity.com.my,MY,G144402663,531873,0,070deb8d59e9,2026-02-13T09:05:20.824Z,CFQ7TTC0LHQB,1,CFQ7TTC0NKT3,Microsoft Defender Suite,Microsoft Defender Suite,new,115.2,100,11520,0,11520,USD,"[""Price for given billing period"",""You are getting a discount for being a partner."",""You are getting a price guarantee for your price."",""Price for given term""]",Microsoft Corporation,,,6d3fbc49-7b59-4f19-d8cf-cfcd333ba958,2026-02-13T00:00:00.000Z,2027-02-12T00:00:00.000Z,One-Year commitment for monthly/yearly billing,115.2,,070deb8d59e9,100,,USD,1,2026-02-01T00:00:00.000Z,,6d3fbc49-7b59-4f19-d8cf-cfcd333ba958,,2026-02-13T00:00:00.000Z,2027-02-12T00:00:00.000Z,a4fb505b-2450-4e68-b15c-f112fefe31fd,[AddOn],,OnlineServices
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,3d417b7e-c507-4cf4-8fad-8f8ca3824747,EVERGREEN MARINE CORP (M) SDN BHD,evergreen-marine.com.my,MY,G144402663,531873,0,4e18def86989,2026-02-28T15:06:03.349Z,CFQ7TTC0LH16,1,CFQ7TTC0WLMQ,Exchange Online (Plan 1),Exchange Online (Plan 1),new,3.84,142,545.28,0,545.28,USD,"[""Price for given billing period"",""You are getting a discount for being a partner."",""You are getting a price guarantee for your price."",""Price for given term""]",Microsoft Corporation,,,680abc7a-4720-468d-d4b7-3a3d7d9bbd13,2026-02-28T00:00:00.000Z,2026-03-27T00:00:00.000Z,One-Month commitment for monthly billing,3.84,,4e18def86989,142,,USD,1,2026-02-01T00:00:00.000Z,,680abc7a-4720-468d-d4b7-3a3d7d9bbd13,,2026-02-28T00:00:00.000Z,2026-03-27T00:00:00.000Z,ad0a6c3e-8bde-4ca6-927c-03b00c595fc2,[],,OnlineServices
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,85aff40b-e28d-490d-aa71-478a038f38b3,Chin Hin Group,chinhingroup.com,MY,G144402663,531873,0,BHdjS8pfW8T16Rgfiy35QbXE3Z4y3KpA1,2026-03-04T14:25:50.416Z,DZH318Z0T9WD,08GJ,DZH318Z0HKDW,Azure OpenAI GPT5 - GPT 5.2 chat inp Gl - US East 2,Azure OpenAI GPT5,customerCredit,1.75,1,-0.07,0,-0.07,USD,,Microsoft,,Azure plan,2a3867a2-1512-4633-d5bc-8955305359b3,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,1M Tokens,0,1M,,0.040546,,USD,1,2026-02-01T00:00:00.000Z,Azure OpenAI GPT5 - GPT 5.2 chat inp Gl 1M 1M Tokens - US East 2,286a64409eabfc53358bff99f8ff6224954bb9563e2c381cf8b911eea070b155,Azure Credit,,,87b9dda4-3bc0-46df-94ec-74c16a1efca7,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,85aff40b-e28d-490d-aa71-478a038f38b3,Chin Hin Group,chinhingroup.com,MY,G144402663,531873,0,Ft3H3YqbRkdjeqiNupy7SYccEl5gWY5g1,2026-03-03T21:44:29.262Z,DZH318Z0HHG7,1HZH,DZH318XXCDP3,Azure OpenAI - gpt 4o 1120 Inp regnl - US East,Azure OpenAI,new,0.00275,1,0,0,0,USD,,Microsoft,,Azure plan,2a3867a2-1512-4633-d5bc-8955305359b3,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,1K Tokens,0.00275,1K,,3.201,,USD,1,2026-02-01T00:00:00.000Z,Azure OpenAI - gpt 4o 1120 Inp regnl 1K Tokens - US East,dd8eaa596a6aa9aada022c5d48c54fec9f0fab1b40ded0ce0800f4d72b5df0bc,,,,24e6c865-f141-44fc-81e6-a09e8ebf7739,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,85aff40b-e28d-490d-aa71-478a038f38b3,Chin Hin Group,chinhingroup.com,MY,G144402663,531873,0,ZISFRnJGhfVcV3UuK_evTL3X3AJtI5Ik1,2026-03-03T21:45:59.733Z,DZH318Z0HHG7,0H38,DZH318XXCX54,Azure OpenAI - gpt-4o-mini-0718-Inp-glbl - US East,Azure OpenAI,new,0.00015,1,0,0,0,USD,,Microsoft,,Azure plan,2a3867a2-1512-4633-d5bc-8955305359b3,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,1K Tokens,0.00015,1K,,21.168,,USD,1,2026-02-01T00:00:00.000Z,Azure OpenAI - gpt-4o-mini-0718-Inp-glbl 1K Tokens - US East,1b3104b6f1cfd48f6dc057ead42274ffb3ca9c673696b11928d0869864737d7e,,,,722ead66-fad6-414a-82f4-6f103209b547,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,f107a355-8df6-4129-bb24-5ab70f07ad1a,Default Directory,ykkakitangan.onmicrosoft.com,MY,G144402663,531873,0,uT4FBxwYY05twNG2F9r4TriksVCcLej71,2026-03-03T16:43:21.030Z,DZH318Z0BNZJ,000J,DZH318XZ0JHW,Blob Storage - Hot LRS - AP Southeast,Blob Storage,new,0.004,1,0,0,0,USD,"[""15% Partner earned credit for services managed""]",Microsoft,,Azure plan,7f852315-b7b9-4a2a-cfc2-268f640fb0be,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,10K Read Operations,0.0034,10K,,2.6091,,USD,1,2026-02-01T00:00:00.000Z,Tiered Block Blob - Hot - 10K Read Operations - AP Southeast,2197c785e99ade618234705a8eb9aa380edcdfcde65e52b8f1409236920107e8,,,,41be4757-0a07-4464-bc39-5ab4276bdf9a,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,27e5894e-134d-4fd1-bf47-61b27732bdde,Nando’s Chickenland Malaysia Sdn. Bhd.,nandos.my,MY,G144402663,531873,0,DxJEMdZ8SjVeNxJ4dkNbRKH_3NCvSfj61,2026-03-03T23:20:18.580Z,DZH318Z0BNWT,004Q,DZH318XZS2QN,Standard Page Blob v2 - LRS - AP East,Standard Page Blob v2,new,0.0015,1,0,0,0,USD,"[""15% Partner earned credit for services managed""]",Microsoft,,Azure plan,6e57a6f5-6cb9-4cf0-c086-6af1a9dff778,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,10K Disk Write Operations,0.001275,10K,,4.1134,,USD,1,2026-02-01T00:00:00.000Z,Standard Page Blob v2 - 10K Disk Write Operations - AP East,1d17e71155122602d7654c4a180dc686870e20ea7b162eabb80aeb4d014ef15c,,,,866d4936-3819-4428-ac3e-f7f2ef18b54f,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,6f6b5813-243f-41a9-8b9d-36852e4a51f2,Mamee-Double Decker,mamee.com.my,MY,G144402663,531873,0,exYwpzHxyL9E0WxVs7USR7flcZJU9OG41,2026-03-03T21:03:39.867Z,DZH318Z0KCZ7,0MFM,DZH318Z0W2NT,Fabric Capacity - OneLake Other Operations Hot - AP Southeast,Fabric Capacity,new,0.22,1,0,0,0,USD,"[""15% Partner earned credit for services managed""]",Microsoft,,Azure plan,2566e100-420b-4eb5-cc6e-44a60697c193,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,CU Hour,0.187,1 Hour,,0.0000116,,USD,1,2026-02-01T00:00:00.000Z,Fabric Capacity - OneLake Other Operations Hot Capacity Usage - CU (Hours) - AP Southeast,222cba1dfa8d953f1d257d1cbd5c0ce9828ad62a0a2289570d04853ba77b81f6,,,,fee0e261-5ba5-4833-a185-ab2f4a59122c,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,64dced0c-558a-4640-b3e0-cfbe91f95492,Signature Group Berhad,signaturegroup.com.my,MY,G144402663,531873,0,H6TD33YYLhATvspdf9i5Qo02Fp3iCrgm1,2026-03-03T19:09:38.497Z,DZH318Z09R64,2,DZH318Z09HN7,Dataverse - File Capacity,Dataverse,new,2.4,1,0.13,0,0.13,USD,"[""15% Partner earned credit for services managed""]",Microsoft,,Azure plan,a93b1c39-d4b1-4690-d254-7fec25a07b6a,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,Data Stored (GB/Month),2.04,1 GB/Month,,0.064284863,,USD,1,2026-02-01T00:00:00.000Z,Dataverse - File Capacity Data Stored GB/Month,a4e946062b241f1f622f46947cab0ad312f4c2dc16cdffa11b012059937ee42d,,,,edd473f4-7e98-47ec-8a81-ccbaf140143f,[],,Azure
ac58a972-b23a-4cf7-a09e-ac384ce8a7ed,85aff40b-e28d-490d-aa71-478a038f38b3,Chin Hin Group,chinhingroup.com,MY,G144402663,531873,0,z18dcADlWpGS-OwRvJ3YSIZFR9J1fgIO1,2026-03-03T21:46:43.950Z,DZH318Z0BNZ5,006G,DZH318XZZNPJ,Tables - LRS,Tables,new,0.00036,1,0,0,0,USD,,Microsoft,,Azure plan,2a3867a2-1512-4633-d5bc-8955305359b3,2026-02-01T00:00:00.000Z,2026-02-28T23:59:59.000Z,10K Batch Write Operations,0.00036,10K,,0.002,,USD,1,2026-02-01T00:00:00.000Z,Tables - 10K Batch Write Operations,b5fccf0100ca10fd5ba9d420f41301917465f5a07f4c684962224204166f25ce,,,,2da6a044-2242-4e2d-8266-101ee3cbdec4,[],,Azure
